State,Post,Dst,Life,New,Reinst,Cont,Total,Adjusted Prior Year*,Percent,Div,RS,City,St,N/R LM,Prior Annual,Retention,N/R %
Alabama,2214,1,125,7,0,32,164,210,78.09%,5,,CULLMAN,AL,0,84,38.10%,3.33 %,
Alabama,2702,1,372,2,1,47,422,475,88.84%,3,,HUNTSVILLE,AL,1,117,43.59%,0.84 %,
Alabama,4190,1,289,6,3,36,334,399,83.70%,3,,DECATUR,AL,2,117,33.33%,2.76 %,
Alabama,4543,1,39,0,1,9,49,63,77.77%,10,,HALEYVILLE,AL,0,23,43.48%,1.59 %,
Alabama,4765,1,114,1,0,21,136,164,82.92%,6,,ATHENS,AL,0,51,41.18%,0.61 %,
Alabama,4919,1,94,3,0,20,117,150,78.00%,6,,SHEFFIELD,AL,0,54,38.89%,2.00 %,
Alabama,5140,1,22,0,0,10,32,38,84.21%,11,,FLORENCE,AL,0,17,64.71%,0.00 %,
Alabama,5162,1,129,0,0,14,143,162,88.27%,6,,HUNTSVILLE,AL,0,32,50.00%,0.00 %,
Alabama,5184,1,11,0,0,5,16,22,72.72%,11,,RUSSELLVILLE,AL,0,11,45.45%,0.00 %,
Alabama,5846,1,29,0,0,9,38,48,79.16%,11,,ROGERSVILLE,AL,0,17,58.82%,0.00 %,
Alabama,8362,1,30,0,0,4,34,41,82.92%,11,,TOWN CREEK,AL,0,11,54.55%,0.00 %,
Alabama,8640,1,48,4,0,8,60,72,83.33%,9,,SHEFFIELD,AL,0,30,50.00%,5.56 %,
Alabama,10774,1,43,2,0,7,52,81,64.19%,9,,FALKVILLE,AL,0,40,22.50%,2.47 %,
Alabama,0,1,1345,25,5,222,1597,1925,82.96%,4,,,,3,0,0.00%,1.71 %,
Alabama,2760,2,107,9,0,28,144,184,78.26%,6,,GADSDEN,AL,1,78,42.31%,5.43 %,
Alabama,3128,2,181,5,0,46,232,271,85.60%,4,,FORT PAYNE,AL,0,92,50.00%,1.85 %,
Alabama,6073,2,163,4,0,55,222,258,86.04%,4,,SCOTTSBORO,AL,2,92,61.96%,2.33 %,
Alabama,6226,2,55,1,0,20,76,105,72.38%,8,,ARAB,AL,0,50,48.00%,0.95 %,
Alabama,6837,2,183,14,1,41,239,375,63.73%,3,,BOAZ,AL,3,211,29.86%,4.80 %,
Alabama,8600,2,109,9,0,11,129,153,84.31%,6,,GADSDEN,AL,4,46,34.78%,8.50 %,
Alabama,10408,2,39,3,0,9,51,61,83.60%,10,,GLENCOE,AL,0,20,45.00%,4.92 %,
Alabama,0,2,837,45,1,210,1093,1407,77.68%,5,,,,10,0,0.00%,3.98 %,
Alabama,668,3,268,1,2,23,294,409,71.88%,3,,BIRMINGHAM,AL,2,69,39.13%,1.22 %,
Alabama,1762,3,45,1,0,12,58,79,73.41%,9,,BESSEMER,AL,0,32,43.75%,1.27 %,
Alabama,4850,3,114,1,0,28,143,252,56.74%,4,,JASPER,AL,0,139,23.02%,0.40 %,
Alabama,5406,3,32,0,0,13,45,62,72.58%,10,,FAYETTE,AL,0,29,44.83%,0.00 %,
Alabama,6173,3,87,3,0,20,110,137,80.29%,7,,BROOKSIDE,AL,0,50,38.00%,2.19 %,
Alabama,12185,3,31,21,0,6,58,44,131.81%,11,,ALABASTER,AL,2,33,6.06%,52.27 %,
Alabama,0,3,577,27,2,102,708,983,72.02%,5,,,,4,0,0.00%,3.36 %,
Alabama,3229,4,22,0,0,3,25,33,75.75%,11,,SPRINGVILLE,AL,0,9,33.33%,0.00 %,
Alabama,4261,4,127,0,0,9,136,174,78.16%,6,,TALLADEGA,AL,0,45,26.67%,0.00 %,
Alabama,4623,4,13,0,0,5,18,25,72.00%,11,,HEFLIN,AL,0,11,45.45%,0.00 %,
Alabama,4758,4,41,0,0,2,43,51,84.31%,10,,PELL CITY,AL,0,10,30.00%,0.00 %,
Alabama,6652,4,27,0,0,5,32,39,82.05%,11,,RAGLAND,AL,0,10,60.00%,0.00 %,
Alabama,9581,4,27,3,1,9,40,47,85.10%,11,,ASHLAND,AL,0,23,47.83%,8.51 %,
Alabama,0,4,257,3,1,33,294,369,79.67%,6,,,,0,0,0.00%,1.08 %,
Alabama,96,5,72,3,1,15,91,114,79.82%,7,,MONTGOMERY,AL,0,32,56.25%,3.51 %,
Alabama,1349,5,198,2,0,18,218,264,82.57%,4,,PRATTVILLE,AL,0,66,30.30%,0.76 %,
Alabama,4545,5,35,1,0,7,43,45,95.55%,11,,TUSKEGEE,AL,0,11,63.64%,2.22 %,
Alabama,4572,5,132,1,0,23,156,181,86.18%,6,,WETUMPKA,AL,0,52,44.23%,0.55 %,
Alabama,5035,5,60,4,1,37,102,161,63.35%,6,,EAST TALLASSEE,AL,0,100,34.00%,3.11 %,
Alabama,5180,5,131,17,0,15,163,197,82.74%,5,,FORT MITCHELL,AL,1,65,20.00%,9.14 %,
Alabama,5228,5,162,10,0,19,191,220,86.81%,5,S,SMITHS STATION,AL,3,65,30.77%,5.91 %,
Alabama,5404,5,41,0,0,4,45,57,78.94%,10,,AUBURN,AL,0,16,25.00%,0.00 %,
Alabama,5732,5,34,0,0,10,44,44,100.00%,11,,OPELIKA,AL,0,11,100.00%,0.00 %,
Alabama,5980,5,12,0,4,1,17,19,89.47%,11,,UNION SPRINGS,AL,0,6,16.67%,21.05 %,
Alabama,0,5,877,38,6,149,1070,1302,82.18%,5,,,,4,0,0.00%,3.69 %,
Alabama,3016,6,130,0,1,38,169,186,90.86%,5,,SELMA,AL,0,55,63.64%,0.54 %,
Alabama,3223,6,27,0,0,10,37,46,80.43%,11,,BUTLER,AL,0,15,73.33%,0.00 %,
Alabama,4767,6,38,0,0,10,48,56,85.71%,10,,ALICEVILLE,AL,0,14,71.43%,0.00 %,
Alabama,5104,6,28,0,0,4,32,40,80.00%,11,,MARION,AL,0,11,36.36%,0.00 %,
Alabama,5106,6,44,0,0,8,52,70,74.28%,9,,THOMASVILLE,AL,0,24,33.33%,0.00 %,
Alabama,5355,6,28,1,0,5,34,47,72.34%,11,,JACKSON,AL,0,17,41.18%,2.13 %,
Alabama,5377,6,37,1,1,26,65,84,77.38%,9,,LINDEN,AL,1,46,60.87%,3.57 %,
Alabama,5848,6,6,0,0,21,27,37,72.97%,11,,LISMAN,AL,0,31,67.74%,0.00 %,
Alabama,6022,6,134,6,0,22,162,194,83.50%,5,,TUSCALOOSA,AL,1,63,36.51%,3.61 %,
Alabama,0,6,472,8,2,144,626,760,82.36%,6,,,,2,0,0.00%,1.58 %,
Alabama,3073,7,228,2,0,43,273,308,88.63%,4,,DOTHAN,AL,1,79,53.16%,0.97 %,
Alabama,4388,7,72,4,1,15,92,149,61.74%,6,,RED LEVEL,AL,3,84,20.24%,5.37 %,
Alabama,5850,7,118,2,0,9,129,151,85.43%,6,,EUFAULA,AL,0,33,30.30%,1.32 %,
Alabama,6020,7,442,3,0,16,461,503,91.65%,3,S,DALEVILLE,AL,2,53,37.74%,0.99 %,
Alabama,6683,7,212,0,0,10,222,251,88.44%,4,,ENTERPRISE,AL,0,48,31.25%,0.00 %,
Alabama,7055,7,35,1,0,2,38,46,82.60%,11,S,BRUNDIDGE,AL,0,10,20.00%,2.17 %,
Alabama,0,7,1107,12,1,95,1215,1408,86.29%,5,,,,6,0,0.00%,1.35 %,
Alabama,49,8,243,3,0,22,268,291,92.09%,4,,MOBILE,AL,0,45,42.22%,1.03 %,
Alabama,3568,8,82,0,2,22,106,171,61.98%,6,,BAY MINETTE,AL,0,89,23.60%,1.17 %,
Alabama,4328,8,93,2,1,18,114,145,78.62%,6,,TILLMAN'S CORNER,AL,0,51,33.33%,2.07 %,
Alabama,5658,8,336,0,1,14,351,382,91.88%,3,,ELBERTA,AL,0,36,33.33%,0.26 %,
Alabama,5660,8,233,6,1,11,251,298,84.22%,4,,FAIRHOPE,AL,0,61,21.31%,2.35 %,
Alabama,7016,8,36,1,0,11,48,60,80.00%,10,,ATMORE,AL,0,24,41.67%,1.67 %,
Alabama,7320,8,96,0,2,20,118,136,86.76%,7,,SARALAND,AL,0,40,45.00%,1.47 %,
Alabama,8485,8,10,0,0,7,17,23,73.91%,11,,MONROEVILLE,AL,0,12,66.67%,0.00 %,
Alabama,0,8,1129,12,7,125,1273,1506,84.52%,4,,,,0,0,0.00%,1.26 %,
Alabama,15001,99,1333,40,7,137,1517,1752,86.58%,1,,MONTGOMERY,AL,20,0,0.00%,3.82 %,
Alabama,0,99,1333,40,7,137,1517,1752,86.58%,4,,,,20,0,0.00%,3.82 %,
Alabama,0,255,7934,210,32,1217,9393,11412,82.30%,,,,,49,0,0.00%,2.55 %,
